bullpen_rank,team,best_reliever,best_reliever_score,top_3_run_prevention,top_5_run_prevention,qualified_relievers,projected_top_5,inherited_runners,inherited_scored,inherited_stranded,strand_rate,strand_score,neutral_bullpen_score
1,Atlanta Braves,"Suarez, Robert",91.33993838430314,82.60374944952208,77.5396886196559,11,"Suarez, Robert | Dodd, Dylan | Fuentes, Didier | Mederos, Victor | Lee, Dylan",166,39,127,0.7650602409638554,100.0,85.87801601682918
2,Houston Astros,"Hader, Josh",100.0,79.12662824027315,71.4875661728482,10,"Hader, Josh | Okert, Steven | Blubaugh, AJ | Abreu, Bryan | Teng, Kai-Wei",208,58,150,0.7211538461538461,77.5257680088553,81.8131235252647
3,New York Yankees,"Headrick, Brent",86.16532983949249,74.90003842719051,70.34357123507252,10,"Headrick, Brent | Blackburn, Paul | Bednar, David | De los Santos, Yerry | Hill, Tim",252,60,192,0.7619047619047619,98.38481458739355,79.87213754666107
4,San Diego Padres,"Miller, Mason",84.1254583441948,79.14875749781464,74.51362138156823,11,"Miller, Mason | Adam, Jason | Matsui, Yuki | Estrada, Jeremiah | Peralta, Wandy",236,75,161,0.6822033898305084,57.588317089471616,75.7683258132843
5,Toronto Blue Jays,"Miles, Spencer",81.8305447339617,78.56174530861595,69.49145495705572,11,"Miles, Spencer | Varland, Louis | Rogers, Tyler | Fisher, Braydon | Mantiply, Joe",231,68,163,0.7056277056277056,69.57844995594948,75.31036375658435
6,Cleveland Guardians,"Gaddis, Hunter",83.47897761158083,73.78838887294405,68.58860211697689,12,"Gaddis, Hunter | Holderman, Colin | Smith, Cade | Armstrong, Shawn | Sabrowski, Erik",238,67,171,0.7184873949579832,76.16089979254645,75.00697666875347
7,Arizona Diamondbacks,"Garcia, Brandyn",82.44315971310627,76.14109516399128,70.96497764486402,10,"Garcia, Brandyn | Morillo, Juan | Loáisiga, Jonathan | Clarke, Taylor | Carrillo, Gerardo",198,59,139,0.702020202020202,67.7318881206005,74.90239498902322
8,New York Mets,"Weaver, Luke",77.18080131655127,75.53713076173398,70.83595074007984,16,"Weaver, Luke | Raley, Brooks | Duarte, Daniel | Lavender, Nate | Minter, A.J.",203,60,143,0.7044334975369458,68.96717431390296,73.5522009267674
9,Tampa Bay Rays,"Baker, Bryan",88.5058796188132,81.07949989078872,71.35814325937278,14,"Baker, Bryan | Booser, Cam | Kelly, Kevin | Wells, Tyler | Seymour, Ian",187,68,119,0.6363636363636364,34.12446271724911,72.9764322573391
10,Boston Red Sox,"Samaniego, Tyler",78.09924190273762,75.93842553957461,74.25499210859573,13,"Samaniego, Tyler | Whitlock, Garrett | Chapman, Aroldis | Miller, Erik | Morán, Jovani",164,53,111,0.676829268292683,54.837481938639264,72.8084580609314
11,Baltimore Orioles,"Sanders, Cam",77.89411291699932,72.18853573664208,67.51992186221055,13,"Sanders, Cam | Garcia, Rico | Wells, Tyler | Hoppe, Alex | Cano, Yennier",206,64,142,0.6893203883495146,61.231273348779766,70.57075651122258
12,Texas Rangers,"Junis, Jakob",76.31748550737395,70.68079206949747,66.58627062297681,12,"Junis, Jakob | Latz, Jacob | Alexander, Tyler | Peoples, Ben | Beeks, Jalen",192,58,134,0.6979166666666666,65.63142403289103,70.10420378951943
13,Seattle Mariners,"Speier, Gabe",77.25209684841845,70.94169758691027,65.37433218072714,11,"Speier, Gabe | Brash, Matt | Ferrer, José A. | Muñoz, Andrés | Wilcox, Cole",158,51,107,0.6772151898734177,55.035022437542715,68.46308650802725
14,Minnesota Twins,"Minter, A.J.",80.05184046669773,75.87149171863753,66.52660196124674,13,"Minter, A.J. | Gómez, Yoendrys | Funderburk, Kody | Rogers, Taylor | Morris, Andrew",206,74,132,0.6407766990291263,36.38336360321003,68.18989276112121
15,Miami Marlins,"Bender, Anthony",67.74477941467943,66.211309920258,62.683866303331186,13,"Bender, Anthony | Petersen, Michael | Phillips, Tyler | King, John | Bachar, Lake",190,52,138,0.7263157894736842,80.16799614435082,67.62994714239923
16,Detroit Tigers,"Waguespack, Jacob",68.49233763540923,64.67003377200979,63.1103652471286,14,"Waguespack, Jacob | Madden, Ty | Smith, Burch | Holton, Tyler | Hurter, Brant",237,67,170,0.7172995780590717,75.55289559031911,66.7901384531417
17,Philadelphia Phillies,"Duran, Jhoan",83.70000064639468,70.97096524246732,64.82091669695942,12,"Duran, Jhoan | Bowlan, Jonathan | McFarlane, Alex | Mayza, Tim | Keller, Brad",161,61,100,0.6211180124223602,26.320731830469928,65.61067451799717
18,Cincinnati Reds,"Ashcraft, Graham",70.31096278337712,62.9480085189254,60.01151848814668,14,"Ashcraft, Graham | Petty, Chase | Pagán, Emilio | Antone, Tejay | Burke, Brock",234,67,167,0.7136752136752137,73.69770328095878,65.5202542901097
19,Milwaukee Brewers,"Uribe, Abner",82.79938110777736,77.2869792488089,71.19791786838346,13,"Uribe, Abner | Megill, Trevor | Hall, DL | Patrick, Chad | Drohan, Shane",165,71,94,0.5696969696969697,0.0,65.24531441210205
20,Chicago White Sox,"Newcomb, Sean",72.33295967225322,65.67852884749756,62.018478908430595,13,"Newcomb, Sean | Taylor, Grant | Richards, Trevor | Hudson, Bryan | Hicks, Jordan",247,81,166,0.6720647773279352,52.398696524241196,64.25214672347794
21,Los Angeles Dodgers,"Henriquez, Edgardo",69.9209586836536,67.07022196566723,65.06202122352295,11,"Henriquez, Edgardo | Vesia, Alex | Stewart, Brock | Scott, Tanner | Hurt, Kyle",171,60,111,0.6491228070175439,40.65546036648341,63.218231682642966
22,Los Angeles Angels,"Saucedo, Tayler",75.31509251547645,70.86757640033812,66.85909977855171,16,"Saucedo, Tayler | Zeferjahn, Ryan | Joyce, Ben | Natera Jr., Samy | Watson, Ryan",233,94,139,0.5965665236051502,13.753636358532296,62.2098214363159
23,Pittsburgh Pirates,"Montgomery, Mason",68.02640639419353,65.56766883776042,61.902674005966546,13,"Montgomery, Mason | Yates, Kirby | Mlodzinski, Carmen | Doval, Camilo | Soto, Gregory",195,67,128,0.6564102564102564,44.38566479306528,61.90555417062626
24,Chicago Cubs,"Civale, Aaron",64.72202921705022,62.79404284781098,60.868223547114084,15,"Civale, Aaron | Webb, Jacob | Rolison, Ryan | Milner, Hoby | Thornton, Trent",213,72,141,0.6619718309859155,47.232450956909474,60.36405486627649
25,Kansas City Royals,"Pearson, Nate",74.86726812608198,70.51772185502979,63.28838260932173,12,"Pearson, Nate | Lynch IV, Daniel | Way, Beck | Cruz, Steven | Cuas, Jose",154,65,89,0.577922077922078,4.2101609845956816,59.4901725185153
26,Colorado Rockies,"Bernardino, Brennan",64.28980176760588,59.7550866637363,53.90244877018864,12,"Bernardino, Brennan | Romano, Jordan | Senzatela, Antonio | Gordon, Tanner | Frasso, Nick",233,74,159,0.6824034334763949,57.69071281850974,58.823317994855415
27,San Francisco Giants,"Harris, Trent",67.7632307002543,65.49216819362289,60.87651781252324,16,"Harris, Trent | Brubaker, JT | Houser, Adrian | Peguero, Joel | Miller, Erik",258,98,160,0.6201550387596899,25.827817447727657,58.72558609406656
28,St. Louis Cardinals,"Graceffo, Gordon",65.35169801746903,58.48322536298044,53.9737083127027,9,"Graceffo, Gordon | Romero, JoJo | O'Brien, Riley | Bruihl, Justin | Soriano, George",231,94,137,0.5930735930735931,11.965720693061384,51.86986271103141
29,Athletics,"Blewett, Scott",58.97391045099604,56.95993260412511,54.95605011971846,14,"Blewett, Scott | Kuhnel, Joel | Basso, Brady | Leiter Jr., Mark | Medina, Luis",244,96,148,0.6065573770491803,18.867623946496906,51.14841602187661
