rank,team,games,wins,losses,win_pct,run_diff_per_game,post_asb_win_pct,last_10_win_pct,quality_weighted_win_pct,projected_rotation_rank,projected_ace,projected_ace_score,projected_top_3_score,projected_top_4_score,projected_depth_score,projected_run_score,projected_qs_score,projected_rotation_score,projected_top_4,starter_1,starter_2,starter_3,starter_4,bullpen_rank,best_reliever,best_reliever_score,top_3_run_prevention,top_5_run_prevention,strand_rate,strand_score,qualified_relievers,neutral_bullpen_score,offensive_momentum_rank,offensive_momentum_score,offense_level,offense_direction,season_offense_score,last_15_offense_score,last_7_offense_score,last_15_runs_per_game,last_15_ops,last_15_iso,last_15_walk_rate,last_15_strikeout_rate,trend_raw,acceleration_raw,rotation_component,bullpen_component,offense_component,run_diff_component,post_asb_component,last_10_component,quality_component,overall_record_component,october_shift_score,contender_score
1,Milwaukee Brewers,142,88,54,0.6197183098591549,1.2253521126760563,0.6304347826086957,0.7,0.6244109617140662,2,"Misiorowski, Jacob",90.3044653252316,78.05252342285699,73.29960921308151,60.245186246807855,87.83602383623214,51.49498727835554,77.49382548008819,"Misiorowski, Jacob | Henderson, Logan | Harrison, Kyle | Woodruff, Brandon","Misiorowski, Jacob","Henderson, Logan","Harrison, Kyle","Woodruff, Brandon",18,"Uribe, Abner",83.28567103249635,78.08412054423204,71.8174510744005,0.5705521472392638,0.0,13,65.79188924371385,8,73.09166666666667,STRONG,STEADY,77.33333333333333,77.83333333333333,75.0,5.333333333333333,0.7930341551104263,0.1420454545454545,0.0878378378378378,0.2043918918918918,0.5,-2.8333333333333286,81.86241197185844,45.5827597040578,80.71888412017168,100.0,95.1841359773371,85.7142857142857,100.0,100.0,88.60850196562946,88.60850196562946
2,Atlanta Braves,141,84,57,0.5957446808510638,0.8581560283687943,0.6304347826086957,0.8,0.6065818925704176,4,"Sale, Chris",90.91337886636995,67.9900551900985,64.44665403660319,54.344274333571214,71.25224826764101,54.23826269004647,70.9653387499882,"Sale, Chris | Elder, Bryce | Holmes, Grant | Strider, Spencer","Sale, Chris","Elder, Bryce","Holmes, Grant","Strider, Spencer",1,"Suarez, Robert",91.86559561162852,83.08490951978023,77.99165049437813,0.7621951219512195,100.0,11,86.28936690715463,22,33.7,COLD,REBOUNDING,63.66666666666666,29.33333333333333,58.16666666666666,3.733333333333333,0.7062625236361584,0.1181102362204724,0.0803571428571428,0.2375,-34.33333333333333,28.83333333333333,67.43313155423813,100.0,30.000000000000004,85.6753175902112,95.1841359773371,100.0,93.10672383678339,90.16796394920115,78.07144281224973,78.07144281224973
3,New York Yankees,141,80,61,0.5673758865248227,0.8085106382978723,0.5777777777777777,0.6,0.5688938441668028,3,"Schlittler, Cam",79.9191603386058,73.88451510549964,70.16201861626045,62.43491973202856,78.69232483005331,57.36655929557114,72.93123780990769,"Schlittler, Cam | Cole, Gerrit | Fried, Max | Rodón, Carlos","Schlittler, Cam","Cole, Gerrit","Fried, Max","Rodón, Carlos",3,"Headrick, Brent",86.00951214043062,75.1221274420242,70.48445547860922,0.76,98.854577396057,10,80.01253952070623,12,60.5,AVERAGE,FADING,62.16666666666667,64.0,54.49999999999999,5.266666666666667,0.7440688018979834,0.1527777777777778,0.08348134991119,0.2557726465364121,1.8333333333333288,-9.500000000000009,71.77816739195053,83.33611433597352,64.50643776824035,83.73860182370821,78.71576959395654,71.42857142857142,78.53534472519691,78.53338795575587,75.67645383895254,75.67645383895254
4,Chicago Cubs,142,80,62,0.5633802816901409,0.971830985915493,0.5652173913043478,0.4,0.5640138319739874,11,"Holmes, Clay",79.0408169030403,67.18278483289788,63.2719387511719,52.34695210497559,75.58670372976688,44.79979128327943,67.13974872489993,"Holmes, Clay | Brown, Ben | Imanaga, Shota | Assad, Javier","Holmes, Clay","Brown, Ben","Imanaga, Shota","Assad, Javier",24,"Civale, Aaron",65.07861690413074,62.92587597492756,61.40688329198254,0.6602870813397129,46.8240144129066,15,60.593084168041706,1,88.06666666666668,HOT,STEADY,96.16666666666669,94.66666666666669,97.66666666666669,6.866666666666666,0.8731518153916686,0.2580645161290322,0.0954773869346733,0.1876046901172529,-1.5,3.0,58.97780131969166,31.780835891782942,100.0,90.10989010989012,74.78753541076485,42.85714285714286,76.64857927188525,76.89471528062273,73.43232516949105,73.43232516949105
5,Los Angeles Dodgers,141,84,57,0.5957446808510638,1.0567375886524824,0.5227272727272727,0.4,0.5667067063358197,1,"Yamamoto, Yoshinobu",90.51375988596808,87.00202111316155,83.27161543543993,77.4436926513113,83.87231634744737,82.3705640674288,85.70012540154131,"Yamamoto, Yoshinobu | Ohtani, Shohei | Skubal, Tarik | Glasnow, Tyler","Yamamoto, Yoshinobu","Ohtani, Shohei","Skubal, Tarik","Glasnow, Tyler",21,"Henriquez, Edgardo",70.33599011815478,67.927635420119,65.95813129614953,0.6529411764705882,42.99089458152966,11,64.1983617316487,18,40.98333333333333,AVERAGE,STEADY,90.66666666666669,47.00000000000001,44.66666666666666,4.333333333333333,0.6862679299907882,0.1137254901960784,0.1153846153846153,0.2107023411371237,-43.66666666666666,-2.333333333333343,100.0,41.35222114872572,39.37768240343347,93.4221806562232,61.49884110224052,42.85714285714286,77.68972878448157,90.16796394920115,73.0705228343905,73.0705228343905
6,Boston Red Sox,142,77,65,0.5422535211267606,0.5563380281690141,0.6458333333333334,0.4,0.5703768247658128,5,"Tolle, Payton",74.54312639867786,70.80774397933466,68.79144202683335,64.11277511667546,74.91949806184724,59.599357974312525,70.33408386427132,"Tolle, Payton | Gray, Sonny | Bennett, Jake | Early, Connelly","Tolle, Payton","Gray, Sonny","Bennett, Jake","Early, Connelly",10,"Samaniego, Tyler",78.5404090616308,76.379216842118,74.60401918332363,0.6728395061728395,53.37391526473443,13,72.93616036275034,14,55.025,AVERAGE,RISING,59.66666666666666,55.83333333333333,61.16666666666666,3.933333333333333,0.7410051399200457,0.174757281553398,0.0860585197934595,0.1944922547332186,-3.8333333333333286,5.333333333333336,66.03793016415085,64.54955769781192,57.45708154506437,73.90109890109889,100.0,42.85714285714286,79.10871144060448,68.23023351085624,69.89801913853034,69.89801913853034
7,Philadelphia Phillies,141,79,62,0.5602836879432624,0.23404255319148937,0.5681818181818182,0.6,0.5590262050572473,7,"Sánchez, Cristopher",81.96991832987602,71.46749944447322,64.75015499852212,53.52652472998727,62.66207867383538,67.88226948555223,70.0584890694608,"Sánchez, Cristopher | Wheeler, Zack | Luzardo, Jesús | Nola, Aaron","Sánchez, Cristopher","Wheeler, Zack","Luzardo, Jesús","Nola, Aaron",17,"Duran, Jhoan",83.47462059334997,71.56111574705754,65.30627066811276,0.6211180124223602,26.385452041275272,12,65.88668887907987,16,48.38333333333333,AVERAGE,FADING,46.5,51.0,31.166666666666668,4.6,0.7087803500846979,0.1264822134387351,0.0802139037433155,0.17825311942959,4.5,-19.83333333333333,65.42880974461734,45.83443625774817,48.90557939914163,61.32803366845919,75.71465361833634,71.42857142857142,74.72020659806961,75.62474395739454,64.7774673166245,64.7774673166245
8,Tampa Bay Rays,141,84,57,0.5957446808510638,0.3262411347517731,0.5957446808510638,0.6,0.5910899539088426,12,"Rasmussen, Drew",71.1140759709948,66.58816860120315,62.01470989658571,53.64422576346146,71.37793501098997,47.9698722249793,64.86336227706632,"Rasmussen, Drew | Martinez, Nick | Seymour, Ian | Jax, Griffin","Rasmussen, Drew","Martinez, Nick","Seymour, Ian","Jax, Griffin",9,"Baker, Bryan",89.02643580329698,82.77638579229763,71.7953523735176,0.6397849462365591,36.12592587928359,14,74.04701928246135,27,25.958333333333336,VERY COLD,REBOUNDING,60.5,23.833333333333336,42.33333333333333,3.8,0.6520960989020862,0.1148514851485148,0.0682226211849192,0.1651705565529623,-36.66666666666666,18.499999999999996,53.946525351369544,67.4986950385796,20.032188841201716,64.92479152053619,84.33488035681994,71.42857142857142,87.11705546781573,90.16796394920115,63.31976481718142,63.31976481718142
9,Toronto Blue Jays,142,71,71,0.5,-0.23943661971830985,0.5652173913043478,0.7,0.511978002607957,13,"Cease, Dylan",75.1638118883365,63.83300659746043,59.38001315157315,49.39251309265138,72.62607232943789,39.51092438477603,63.60903520528064,"Cease, Dylan | Soriano, José | Yesavage, Trey | Corbin, Patrick","Cease, Dylan","Soriano, José","Yesavage, Trey","Corbin, Patrick",6,"Miles, Spencer",82.30628844918216,78.5814887904789,69.63380048868524,0.7030567685589519,69.14139248717358,11,75.4123677691208,4,78.65833333333333,STRONG,HEATING UP,17.5,72.5,82.66666666666667,4.866666666666666,0.7680107416949522,0.1539961013645224,0.0817391304347826,0.177391304347826,55.0,10.166666666666671,51.17420799783012,71.12345794385976,87.88626609442059,42.85714285714286,74.78753541076485,85.7142857142857,56.529898968833855,50.90126997132324,63.25156381096799,63.25156381096799
10,Cleveland Guardians,142,72,70,0.5070422535211268,-0.06338028169014084,0.4666666666666667,0.6,0.49504596560448333,8,"Messick, Parker",77.31727929162952,69.33258876447624,64.4264184781645,57.04016542967072,67.42026620725478,59.93564688452909,68.50366383878138,"Messick, Parker | Griffin, Foster | Bibee, Tanner | Williams, Gavin","Messick, Parker","Griffin, Foster","Bibee, Tanner","Williams, Gavin",5,"Gaddis, Hunter",83.97087023735591,74.22543536417912,68.99466107793276,0.7184873949579832,77.19314936593415,12,75.53771889686266,10,64.45833333333333,AVERAGE,STEADY,23.83333333333333,61.16666666666666,58.50000000000001,5.0,0.7293086466427229,0.1329479768786127,0.0824742268041237,0.1786941580756013,37.33333333333333,-2.66666666666665,61.992330483592475,71.45624339930446,69.60300429184548,49.72527472527473,43.96600566572238,71.42857142857142,49.98344350723025,53.789430561245396,57.972657079717045,57.972657079717045
