game_pk,date,home_team,away_team,home_starter_id,home_starter_name,away_starter_id,away_starter_name
823244,2026-03-25,San Francisco Giants,New York Yankees,657277,"Webb, Logan",608331,"Fried, Max"
823081,2026-03-26,St. Louis Cardinals,Tampa Bay Rays,669461,"Liberatore, Matthew",656876,"Rasmussen, Drew"
823163,2026-03-26,Seattle Mariners,Cleveland Guardians,669302,"Gilbert, Logan",676440,"Bibee, Tanner"
823325,2026-03-26,San Diego Padres,Detroit Tigers,601713,"Pivetta, Nick",669373,"Skubal, Tarik"
823486,2026-03-26,Philadelphia Phillies,Texas Rangers,650911,"Sánchez, Cristopher",543135,"Eovaldi, Nathan"
823649,2026-03-26,New York Mets,Pittsburgh Pirates,642547,"Peralta, Freddy",694973,"Skenes, Paul"
823812,2026-03-26,Milwaukee Brewers,Chicago White Sox,694819,"Misiorowski, Jacob",681343,"Smith, Shane"
823974,2026-03-26,Los Angeles Dodgers,Arizona Diamondbacks,808967,"Yamamoto, Yoshinobu",668678,"Gallen, Zac"
824218,2026-03-26,Houston Astros,Los Angeles Angels,686613,"Brown, Hunter",667755,"Soriano, José"
824541,2026-03-26,Cincinnati Reds,Boston Red Sox,671096,"Abbott, Andrew",676979,"Crochet, Garrett"
824704,2026-03-26,Chicago Cubs,Washington Nationals,571510,"Boyd, Matthew",676917,"Cavalli, Cade"
824865,2026-03-26,Baltimore Orioles,Minnesota Twins,669432,"Rogers, Trevor",657746,"Ryan, Joe"
822839,2026-03-27,Toronto Blue Jays,Athletics,592332,"Gausman, Kevin",622663,"Severino, Luis"
823162,2026-03-27,Seattle Mariners,Cleveland Guardians,669923,"Kirby, George",668909,"Williams, Gavin"
823243,2026-03-27,San Francisco Giants,New York Yankees,592662,"Ray, Robbie",693645,"Schlittler, Cam"
823324,2026-03-27,San Diego Padres,Detroit Tigers,650633,"King, Michael",664285,"Valdez, Framber"
823893,2026-03-27,Miami Marlins,Colorado Rockies,645261,"Alcantara, Sandy",607536,"Freeland, Kyle"
823971,2026-03-27,Los Angeles Dodgers,Arizona Diamondbacks,686218,"Sheehan, Emmet",669194,"Nelson, Ryne"
824216,2026-03-27,Houston Astros,Los Angeles Angels,681347,"Burrows, Mike",579328,"Kikuchi, Yusei"
824946,2026-03-27,Atlanta Braves,Kansas City Royals,519242,"Sale, Chris",666142,"Ragans, Cole"
822838,2026-03-28,Toronto Blue Jays,Athletics,656302,"Cease, Dylan",605488,"Springs, Jeffrey"
823082,2026-03-28,St. Louis Cardinals,Tampa Bay Rays,700241,"McGreevy, Michael",671212,"Boyle, Joe"
823161,2026-03-28,Seattle Mariners,Cleveland Guardians,693433,"Woo, Bryan",676282,"Cantillo, Joey"
823241,2026-03-28,San Francisco Giants,New York Yankees,641816,"Mahle, Tyler",701542,"Warren, Will"
823323,2026-03-28,San Diego Padres,Detroit Tigers,681190,"Vásquez, Randy",656427,"Flaherty, Jack"
823488,2026-03-28,Philadelphia Phillies,Texas Rangers,605400,"Nola, Aaron",656641,"Latz, Jacob"
823651,2026-03-28,New York Mets,Pittsburgh Pirates,656849,"Peterson, David",656605,"Keller, Mitch"
823811,2026-03-28,Milwaukee Brewers,Chicago White Sox,694477,"Patrick, Chad",680732,"Burke, Sean"
823892,2026-03-28,Miami Marlins,Colorado Rockies,691587,"Pérez, Eury",547179,"Lorenzen, Michael"
823973,2026-03-28,Los Angeles Dodgers,Arizona Diamondbacks,607192,"Glasnow, Tyler",593958,"Rodriguez, Eduardo"
824213,2026-03-28,Houston Astros,Los Angeles Angels,664299,"Javier, Cristian",672282,"Detmers, Reid"
824540,2026-03-28,Cincinnati Reds,Boston Red Sox,663903,"Singer, Brady",543243,"Gray, Sonny"
824701,2026-03-28,Chicago Cubs,Washington Nationals,690990,"Horton, Cade",571945,"Mikolas, Miles"
824862,2026-03-28,Baltimore Orioles,Minnesota Twins,680694,"Bradish, Kyle",671737,"Bradley, Taj"
824945,2026-03-28,Atlanta Braves,Kansas City Royals,625643,"López, Reynaldo",608379,"Wacha, Michael"
822837,2026-03-29,Toronto Blue Jays,Athletics,641778,"Lauer, Eric",806960,"Morales, Luis"
823079,2026-03-29,St. Louis Cardinals,Tampa Bay Rays,669160,"May, Dustin",571927,"Matz, Steven"
823160,2026-03-29,Seattle Mariners,Cleveland Guardians,676106,"Hancock, Emerson",677944,"Cecconi, Slade"
823487,2026-03-29,Philadelphia Phillies,Texas Rangers,666200,"Luzardo, Jesús",669022,"Gore, MacKenzie"
823647,2026-03-29,New York Mets,Pittsburgh Pirates,690997,"McLean, Nolan",669387,"Mlodzinski, Carmen"
823810,2026-03-29,Milwaukee Brewers,Chicago White Sox,687075,"Sproat, Brandon",641743,"Kay, Anthony"
823891,2026-03-29,Miami Marlins,Colorado Rockies,676974,"Meyer, Max",500779,"Quintana, Jose"
824215,2026-03-29,Houston Astros,Los Angeles Angels,837227,"Imai, Tatsuya",686799,"Kochanowicz, Jack"
824538,2026-03-29,Cincinnati Reds,Boston Red Sox,695076,"Lowder, Rhett",813349,"Early, Connelly"
824700,2026-03-29,Chicago Cubs,Washington Nationals,684007,"Imanaga, Shota",663623,"Irvin, Jake"
824864,2026-03-29,Baltimore Orioles,Minnesota Twins,669358,"Baz, Shane",641927,"Ober, Bailey"
824944,2026-03-29,Atlanta Braves,Kansas City Royals,656550,"Holmes, Grant",607625,"Lugo, Seth"
822834,2026-03-30,Toronto Blue Jays,Colorado Rockies,664074,"Ponce, Cody",608372,"Sugano, Tomoyuki"
823080,2026-03-30,St. Louis Cardinals,New York Mets,681517,"Leahy, Kyle",605280,"Holmes, Clay"
823159,2026-03-30,Seattle Mariners,New York Yankees,622491,"Castillo, Luis",677960,"Weathers, Ryan"
823320,2026-03-30,San Diego Padres,San Francisco Giants,621111,"Buehler, Walker",694738,"Roupp, Landen"
823484,2026-03-30,Philadelphia Phillies,Washington Nationals,592836,"Walker, Taijuan",656492,"Griffin, Foster"
823809,2026-03-30,Milwaukee Brewers,Tampa Bay Rays,690986,"Harrison, Kyle",607259,"Martinez, Nick"
823890,2026-03-30,Miami Marlins,Chicago White Sox,663978,"Paddack, Chris",663436,"Martin, Davis"
823972,2026-03-30,Los Angeles Dodgers,Cleveland Guardians,808963,"Sasaki, Roki",800048,"Messick, Parker"
824135,2026-03-30,Kansas City Royals,Minnesota Twins,663460,"Bubic, Kris",680573,"Woods Richardson, Simeon"
824214,2026-03-30,Houston Astros,Boston Red Sox,621121,"McCullers Jr., Lance",624133,"Suarez, Ranger"
824539,2026-03-30,Cincinnati Reds,Pittsburgh Pirates,695505,"Burns, Chase",677952,"Ashcraft, Braxton"
824702,2026-03-30,Chicago Cubs,Los Angeles Angels,665795,"Cabrera, Edward",696270,"Johnson, Ryan"
824863,2026-03-30,Baltimore Orioles,Texas Rangers,605135,"Bassitt, Chris",683004,"Leiter, Jack"
