projected_rotation_rank,team,projected_ace,projected_ace_score,projected_top_3_score,projected_top_4_score,projected_depth_score,projected_run_score,projected_qs_score,projected_rotation_score,projected_top_4,starter_1,starter_2,starter_3,starter_4
1,Los Angeles Dodgers,"Yamamoto, Yoshinobu",90.09332842665555,87.30673092386883,84.48787712555561,80.32173597882388,84.1844360664598,84.94303871419933,86.39186029814613,"Yamamoto, Yoshinobu | Ohtani, Shohei | Skubal, Tarik | Glasnow, Tyler","Yamamoto, Yoshinobu","Ohtani, Shohei","Skubal, Tarik","Glasnow, Tyler"
2,New York Yankees,"Schlittler, Cam",82.31394272535682,74.49685211014567,72.92779894369932,69.19136264903233,80.64273667593075,61.35539234535212,75.34149071149218,"Schlittler, Cam | Fried, Max | Rodón, Carlos | Cole, Gerrit","Schlittler, Cam","Fried, Max","Rodón, Carlos","Cole, Gerrit"
3,Milwaukee Brewers,"Misiorowski, Jacob",86.13127588469257,74.77193873348592,69.42074159100545,56.04868148994851,84.60473361702921,46.64475355196981,73.73304500626088,"Misiorowski, Jacob | Henderson, Logan | Woodruff, Brandon | Patrick, Chad","Misiorowski, Jacob","Henderson, Logan","Woodruff, Brandon","Patrick, Chad"
4,Atlanta Braves,"Sale, Chris",90.18237548131404,69.30804086659799,65.67113518255931,56.412237717592035,69.63773197157226,59.72123999903987,71.86487291111837,"Sale, Chris | Holmes, Grant | Elder, Bryce | Mahle, Tyler","Sale, Chris","Holmes, Grant","Elder, Bryce","Mahle, Tyler"
5,Philadelphia Phillies,"Sánchez, Cristopher",78.72923481087179,73.23304215275373,68.13195433635879,58.888668612919844,65.42066929935079,72.19888189187081,71.43521672302917,"Sánchez, Cristopher | Wheeler, Zack | Luzardo, Jesús | Nola, Aaron","Sánchez, Cristopher","Wheeler, Zack","Luzardo, Jesús","Nola, Aaron"
6,Boston Red Sox,"Tolle, Payton",76.66952735869444,71.93861251283842,68.78021641477173,60.9386651734505,76.52267056077517,57.1665351957666,70.8396699037809,"Tolle, Payton | Gray, Sonny | Early, Connelly | Suarez, Ranger","Tolle, Payton","Gray, Sonny","Early, Connelly","Suarez, Ranger"
7,Cleveland Guardians,"Messick, Parker",77.75979027544308,67.05925349476134,64.13487906016726,58.519888414410886,67.38705780762633,59.256610938978625,67.86860804096038,"Messick, Parker | Griffin, Foster | Bibee, Tanner | Williams, Gavin","Messick, Parker","Griffin, Foster","Bibee, Tanner","Williams, Gavin"
8,Tampa Bay Rays,"Rasmussen, Drew",76.50152699874158,69.08348962550697,63.002990782323465,51.14355512236003,72.7978461006804,48.31070780478806,67.03090902470689,"Rasmussen, Drew | Martinez, Nick | Seymour, Ian | Jax, Griffin","Rasmussen, Drew","Martinez, Nick","Seymour, Ian","Jax, Griffin"
9,San Diego Padres,"King, Michael",79.24203692506264,64.99403129071739,62.20761598759992,55.42866467700258,72.5572947534224,46.68309783886622,66.56394464662299,"King, Michael | Ray, Robbie | Mize, Casey | Vásquez, Randy","King, Michael","Ray, Robbie","Mize, Casey","Vásquez, Randy"
10,Arizona Diamondbacks,"Rodriguez, Eduardo",75.34377913614472,66.61627803596376,62.7775763605774,54.64266850131578,71.10268261464692,50.28991697947311,66.23437154573453,"Rodriguez, Eduardo | Soroka, Michael | Pfaadt, Brandon | Bratt, Mitch","Rodriguez, Eduardo","Soroka, Michael","Pfaadt, Brandon","Bratt, Mitch"
11,Chicago Cubs,"Brown, Ben",69.07987990324266,64.58883899878815,61.896084879005585,55.9185073651292,70.72578605377899,48.65153311684547,63.872498655896415,"Brown, Ben | Holmes, Clay | Imanaga, Shota | Boyd, Matthew","Brown, Ben","Holmes, Clay","Imanaga, Shota","Boyd, Matthew"
12,Seattle Mariners,"Hancock, Emerson",69.71183493853029,63.83425573004098,60.2747033000282,52.25409429887006,58.6886108046144,62.65384204314888,62.854715831485116,"Hancock, Emerson | Gilbert, Logan | Woo, Bryan | Kirby, George","Hancock, Emerson","Gilbert, Logan","Woo, Bryan","Kirby, George"
13,Detroit Tigers,"Melton, Troy",69.90939444102975,61.64640909924608,59.83754266221478,54.96853765236914,69.26112176278741,45.70217401135585,62.348701430254195,"Melton, Troy | Anderson, Drew | Montero, Keider | Valdez, Framber","Melton, Troy","Anderson, Drew","Montero, Keider","Valdez, Framber"
14,St. Louis Cardinals,"McGreevy, Michael",65.95899072989931,61.37719291909167,59.99212496715333,56.76113697514258,69.21514155308114,46.15760008826159,61.55322038981355,"McGreevy, Michael | Mathews, Quinn | Dobbins, Hunter | Pallante, Andre","McGreevy, Michael","Mathews, Quinn","Dobbins, Hunter","Pallante, Andre"
15,Toronto Blue Jays,"Cease, Dylan",70.8922824840003,61.78555425403527,57.851965745822035,49.44375680263633,71.92777371782614,36.73825378781589,61.42424899217404,"Cease, Dylan | Soriano, José | Yesavage, Trey | Corbin, Patrick","Cease, Dylan","Soriano, José","Yesavage, Trey","Corbin, Patrick"
16,Kansas City Royals,"Wacha, Michael",69.31531224868542,61.23087092525227,57.24493907246151,48.83596832844678,59.854570481684334,53.33049195862729,60.59555949603159,"Wacha, Michael | Bubic, Kris | Dobnak, Randy | Lugo, Seth","Wacha, Michael","Bubic, Kris","Dobnak, Randy","Lugo, Seth"
17,New York Mets,"McLean, Nolan",69.52925608640885,61.74561197291653,56.20647869935337,46.46089321877787,62.40569926315679,46.90764785364822,60.29098853345617,"McLean, Nolan | Thornton, Zac | Scott, Christian | Manaea, Sean","McLean, Nolan","Thornton, Zac","Scott, Christian","Manaea, Sean"
18,Los Angeles Angels,"Ureña, Walbert",66.93932707036224,61.14922652131634,56.55974463859957,47.27243460024317,62.73928927717176,47.290427680741296,59.59733649387349,"Ureña, Walbert | Detmers, Reid | Klassen, George | Kochanowicz, Jack","Ureña, Walbert","Detmers, Reid","Klassen, George","Kochanowicz, Jack"
19,Texas Rangers,"Quantrill, Cal",67.0587004371111,59.264520252582564,56.83715963347183,50.17552672062006,67.72527903480429,40.50498053147314,59.364244145098176,"Quantrill, Cal | deGrom, Jacob | Rocker, Kumar | Gore, MacKenzie","Quantrill, Cal","deGrom, Jacob","Rocker, Kumar","Gore, MacKenzie"
20,Washington Nationals,"Cavalli, Cade",75.6377736180697,59.77921013459319,52.232502780703896,33.070193521736925,66.16623234191263,31.331908438890803,58.228157042756024,"Cavalli, Cade | Alvarez, Andrew | Kent, Jackson | Irvin, Jake","Cavalli, Cade","Alvarez, Andrew","Kent, Jackson","Irvin, Jake"
21,Houston Astros,"Lambert, Peter",70.0688358529392,57.27997317547686,53.84545925713034,43.93050520555619,64.41525562256983,37.990764708971106,57.78786586568504,"Lambert, Peter | Brown, Hunter | Wesneski, Hayden | Imai, Tatsuya","Lambert, Peter","Brown, Hunter","Wesneski, Hayden","Imai, Tatsuya"
22,Pittsburgh Pirates,"Ashcraft, Braxton",61.55519649773298,57.033963641258374,54.90236727500327,50.119926100022305,62.39582850847968,43.66217542478867,56.700846950940594,"Ashcraft, Braxton | Skenes, Paul | Jones, Jared | Chandler, Bubba","Ashcraft, Braxton","Skenes, Paul","Jones, Jared","Chandler, Bubba"
23,Minnesota Twins,"Bradley, Taj",64.03569916733011,54.9707534176454,53.36120230445194,49.37692693505217,56.96009699328442,47.96286027120323,56.0760056600389,"Bradley, Taj | Matthews, Zebby | Paredes, Mike | Ryan, Joe","Bradley, Taj","Matthews, Zebby","Paredes, Mike","Ryan, Joe"
24,Baltimore Orioles,"Young, Brandon",62.50737627193669,55.40123309328501,53.40482037023402,49.3652146887362,53.81372042772087,52.79147028400374,55.87308358265542,"Young, Brandon | Rogers, Trevor | Baz, Shane | Bradish, Kyle","Young, Brandon","Rogers, Trevor","Baz, Shane","Bradish, Kyle"
25,Miami Marlins,"Meyer, Max",61.74640198774256,55.97459467863916,52.526196828695205,46.51681776370863,60.4531397281952,40.635782479445204,55.30920039868665,"Meyer, Max | Alcantara, Sandy | Phillips, Tyler | Pérez, Eury","Meyer, Max","Alcantara, Sandy","Phillips, Tyler","Pérez, Eury"
26,Chicago White Sox,"Burke, Sean",59.155395466508665,55.627103874481726,53.6794081939934,49.82955026194473,63.57439352787504,38.836930193170936,55.25000459451025,"Burke, Sean | Martin, Davis | Fedde, Erick | Sandlin, David","Burke, Sean","Martin, Davis","Fedde, Erick","Sandlin, David"
27,Cincinnati Reds,"Burns, Chase",68.24761284158933,53.75295067847474,48.48546894769575,35.75885385083558,56.05337474332024,37.133610254259025,53.62400534895172,"Burns, Chase | Abbott, Andrew | Lodolo, Nick | Lowder, Rhett","Burns, Chase","Abbott, Andrew","Lodolo, Nick","Lowder, Rhett"
28,Athletics,"Ginn, J.T.",61.038533917547824,53.95089814768013,49.94134493021603,42.955658336361886,59.59303312952946,35.463812631245894,53.2716104749565,"Ginn, J.T. | Severino, Luis | Lopez, Jacob | Jump, Gage","Ginn, J.T.","Severino, Luis","Lopez, Jacob","Jump, Gage"
29,San Francisco Giants,"Webb, Logan",54.90927860419907,53.36431510031497,50.896947372824656,47.66726576787371,56.32417642331426,42.75610379709026,52.40252503092175,"Webb, Logan | Roupp, Landen | McDonald, Trevor | Houser, Adrian","Webb, Logan","Roupp, Landen","McDonald, Trevor","Houser, Adrian"
30,Colorado Rockies,"Adams, Mason",45.33170029689061,39.08368097721646,36.91810192375073,32.69165797534137,47.409795152114924,21.180562081204464,39.25376654616059,"Adams, Mason | Quintana, Jose | Sugano, Tomoyuki | Feltner, Ryan","Adams, Mason","Quintana, Jose","Sugano, Tomoyuki","Feltner, Ryan"
