run_prevention_rank,pitcher_name,team,appearances,pitches,runs_allowed,outs_recorded,innings_pitched,runs_per_9,reliability,adjusted_runs_per_9,run_prevention_score
1,"Hader, Josh",Houston Astros,36,527,2,106,35.333333333333336,0.5094339622641509,0.6428571428571429,2.0626670341129865,100.0
2,"Suarez, Robert",Atlanta Braves,31,467,3,96,32.0,0.84375,0.6078431372549019,2.4181564954670165,93.79117614975031
3,"Miller, Mason",San Diego Padres,54,925,11,170,56.66666666666666,1.7470588235294118,0.7297297297297297,2.5879852397217036,90.82502139014031
4,"Booser, Cam",Tampa Bay Rays,30,452,4,93,31.0,1.161290322580645,0.6,2.6401688189247436,89.91360576079043
5,"Baker, Bryan",Tampa Bay Rays,55,838,11,159,53.0,1.8679245283018868,0.7333333333333333,2.6654077376722882,89.47279381638737
6,"Headrick, Brent",New York Yankees,70,1117,17,208,69.33333333333333,2.206730769230769,0.7777777777777778,2.796009834610796,87.19175456623398
7,"Duran, Jhoan",Philadelphia Phillies,51,793,12,148,49.333333333333336,2.189189189189189,0.7183098591549296,2.941103942499528,84.65760417494265
8,"Adam, Jason",San Diego Padres,36,551,7,97,32.333333333333336,1.9484536082474224,0.6428571428571429,2.98775109224509,83.8428854072378
9,"Uribe, Abner",Milwaukee Brewers,49,767,12,145,48.333333333333336,2.2344827586206897,0.7101449275362319,2.9950635716120524,83.7151688326729
10,"Dodd, Dylan",Atlanta Braves,41,679,10,129,43.0,2.0930232558139537,0.6721311475409836,2.999732537003114,83.63362271998199
11,"Garcia, Brandyn",Arizona Diamondbacks,47,567,10,120,40.0,2.25,0.7014925373134329,3.0286527055047436,83.12851567331391
12,"Miles, Spencer",Toronto Blue Jays,36,1027,15,199,66.33333333333333,2.035175879396985,0.6428571428571429,3.0435011236983804,82.86917967874466
13,"Gaddis, Hunter",Cleveland Guardians,53,767,12,136,45.333333333333336,2.3823529411764706,0.726027397260274,3.0607457143995997,82.56799318048475
14,"Samaniego, Tyler",Boston Red Sox,19,293,3,58,19.33333333333333,1.396551724137931,0.48717948717948717,3.1719029237804746,80.6265698536091
15,"Megill, Trevor",Milwaukee Brewers,53,745,15,159,53.0,2.547169811320755,0.726027397260274,3.1804072776550387,80.47803651884796
16,"Duarte, Daniel",New York Mets,19,369,4,72,24.0,1.5,0.48717948717948717,3.2223008017645594,79.74634250273995
17,"Weaver, Luke",New York Mets,42,644,12,132,44.0,2.454545454545454,0.6774193548387096,3.230010328382692,79.6116912740974
18,"Brash, Matt",Seattle Mariners,20,263,3,50,16.666666666666668,1.62,0.5,3.2392432817204457,79.45043253896264
19,"Minter, A.J.",Minnesota Twins,13,161,1,35,11.666666666666666,0.7714285714285715,0.3939393939393939,3.2484334150724017,79.28992167901967
20,"Speier, Gabe",Seattle Mariners,43,551,10,108,36.0,2.5,0.6825396825396826,3.2487258931558385,79.2848133844075
21,"Varland, Louis",Toronto Blue Jays,62,1081,21,206,68.66666666666667,2.7524271844660197,0.7560975609756098,3.2661002037281834,78.98136125546861
22,"Junis, Jakob",Texas Rangers,41,646,12,128,42.66666666666666,2.53125,0.6721311475409836,3.2942783814560297,78.48921349596304
23,"Chapman, Aroldis",Boston Red Sox,46,731,13,134,44.66666666666666,2.6194029850746268,0.696969696969697,3.297913160337131,78.42573003369273
24,"Morán, Jovani",Boston Red Sox,39,836,15,162,54.0,2.5,0.6610169491525424,3.299486970657929,78.39824254920212
25,"Raley, Brooks",New York Mets,45,634,12,124,41.333333333333336,2.612903225806451,0.6923076923076923,3.303851945078587,78.32200581018465
26,"Newcomb, Sean",Chicago White Sox,46,1086,21,209,69.66666666666667,2.712918660287081,0.696969696969697,3.363090752151872,77.28736664868596
27,"Funderburk, Kody",Minnesota Twins,46,727,13,129,43.0,2.7209302325581395,0.696969696969697,3.3686745752498823,77.18984203039079
28,"Sanders, Cam",Baltimore Orioles,11,206,1,39,13.0,0.6923076923076923,0.3548387096774194,3.380165028522659,76.989154786222
29,"Rogers, Tyler",Toronto Blue Jays,64,913,20,185,61.66666666666666,2.9189189189189197,0.7619047619047619,3.380720739043199,76.97944898869815
30,"Guerrero, Tyron",Boston Red Sox,37,565,11,115,38.333333333333336,2.582608695652174,0.6491228070175439,3.3811623334727767,76.97173629303606
31,"Lynch IV, Daniel",Kansas City Royals,46,675,14,138,46.0,2.739130434782609,0.696969696969697,3.381359564679058,76.96829153882899
32,"Morillo, Juan",Arizona Diamondbacks,57,859,17,160,53.333333333333336,2.86875,0.7402597402597403,3.385564691802829,76.8948466229658
33,"Blackburn, Paul",New York Yankees,51,1041,23,221,73.66666666666667,2.809954751131221,0.7183098591549296,3.387005965866339,76.86967395892623
34,"Whitlock, Garrett",Boston Red Sox,46,634,14,136,45.333333333333336,2.779411764705882,0.696969696969697,3.4094344309892177,76.47794817147529
35,"Stewart, Brock",Los Angeles Dodgers,19,273,4,57,19.0,1.894736842105263,0.48717948717948717,3.4146084940722514,76.38758024284449
36,"Holderman, Colin",Cleveland Guardians,53,842,17,157,52.333333333333336,2.923566878980892,0.726027397260274,3.4536818610247275,75.70514186135199
37,"Lee, Dylan",Atlanta Braves,63,941,20,179,59.66666666666666,3.016759776536313,0.7590361445783133,3.4605493637422353,75.58519705482605
38,"Gómez, Yoendrys",Minnesota Twins,46,695,13,122,40.66666666666666,2.877049180327869,0.696969696969697,3.4774847509681788,75.28941096957573
39,"Garcia, Rico",Baltimore Orioles,64,873,20,174,58.0,3.1034482758620694,0.7619047619047619,3.521314534809408,74.52389908568419
40,"Latz, Jacob",Texas Rangers,46,884,18,165,55.0,2.9454545454545453,0.696969696969697,3.52516121757162,74.45671460266915
41,"Saucedo, Tayler",Los Angeles Angels,17,223,3,41,13.666666666666666,1.975609756097561,0.4594594594594595,3.5339215438507128,74.3037105655581
42,"Fuentes, Didier",Atlanta Braves,48,950,19,172,57.333333333333336,2.982558139534884,0.7058823529411765,3.534301793624886,74.29706928888581
43,"Waguespack, Jacob",Detroit Tigers,23,424,8,90,30.0,2.4,0.5348837209302325,3.543482122530647,74.13672966912289
44,"Zeferjahn, Ryan",Los Angeles Angels,45,971,17,155,51.66666666666666,2.9612903225806453,0.6923076923076923,3.5450430120761056,74.1094678532577
45,"Pearson, Nate",Kansas City Royals,15,222,3,44,14.666666666666666,1.840909090909091,0.42857142857142855,3.565239075212977,73.75673222501226
46,"Doval, Camilo",Pittsburgh Pirates,12,197,2,36,12.0,1.5,0.375,3.599054102150557,73.16613371627673
47,"Ashcraft, Graham",Cincinnati Reds,26,451,8,81,27.0,2.6666666666666665,0.5652173913043478,3.619631839177199,72.80673193837721
48,"Estrada, Jeremiah",San Diego Padres,33,513,10,93,31.0,2.903225806451613,0.6226415094339622,3.6410600543720957,72.43247607981081
49,"Hall, DL",Milwaukee Brewers,34,717,14,129,43.0,2.930232558139535,0.6296296296296297,3.6444007082511485,72.37412967651467
50,"Mederos, Victor",Atlanta Braves,20,441,7,77,25.666666666666668,2.454545454545454,0.5,3.6565160089931728,72.16252911903676
51,"Kelly, Kevin",Tampa Bay Rays,59,843,23,191,63.66666666666666,3.25130890052356,0.7468354430379747,3.6581893215152896,72.13330377250563
52,"Okert, Steven",Houston Astros,65,1007,24,197,65.66666666666667,3.2893401015228427,0.7647058823529411,3.658551033738854,72.12698626460529
